1,Abarca de Campos,450,34001,Palencia,PP
2,Abia de las Torres,1670,34003,Palencia,PP
3,Aguilar de Campoo,6711,34004,Palencia,PP
4,Alar del Rey,9080,34005,Palencia,Cs
5,Alba de Cerrato,830,34006,Palencia,PP
6,Amayuelas de Arriba,360,34009,Palencia,PP
7,Ampudia,6000,34010,Palencia,PSOE
8,Amusco,4140,34011,Palencia,PP
9,Antigüedad,3620,34012,Palencia,PSOE
10,Arconada,430,34015,Palencia,PP
11,Astudillo,1021,34017,Palencia,PP
12,Autilla del Pino,2170,34018,Palencia,PP
13,Autillo de Campos,1320,34019,Palencia,PP
14,Ayuela,540,34020,Palencia,PSOE
15,Baltanás,1219,34022,Palencia,PP
16,Baquerín de Campos,260,34024,Palencia,PP
17,Bárcena de Campos,520,34025,Palencia,PP
18,Barruelo de Santullán,1187,34027,Palencia,PSOE
19,Báscones de Ojeda,1380,34028,Palencia,PP
20,Becerril de Campos,7620,34029,Palencia,PP
21,Belmonte de Campos,260,34031,Palencia,PP
22,Berzosilla,390,34032,Palencia,PP
23,Boada de Campos,180,34033,Palencia,PP
24,Boadilla de Rioseco,1140,34035,Palencia,PP
25,Boadilla del Camino,1210,34034,Palencia,PSOE
26,Brañosera,2550,34036,Palencia,PSOE
27,Buenavista de Valdavia,3080,34037,Palencia,Cs
28,Bustillo de la Vega,2780,34038,Palencia,PP
29,Bustillo del Páramo de Carrión,600,34039,Palencia,PP
30,Calahorra de Boedo,850,34041,Palencia,AEIC
31,Calzada de los Molinos,3170,34042,Palencia,PSOE
32,Capillas,720,34045,Palencia,PP
33,Cardeñosa de Volpejera,560,34046,Palencia,PP
34,Carrión de los Condes,2011,34047,Palencia,Cs
35,Castil de Vela,580,34048,Palencia,PP
36,Castrejón de la Peña,3460,34049,Palencia,PP
37,Castrillo de Don Juan,1960,34050,Palencia,PP
38,Castrillo de Onielo,1040,34051,Palencia,PP
39,Castrillo de Villavega,1730,34052,Palencia,PP
40,Castromocho,2120,34053,Palencia,PP
41,Cervatos de la Cueza,2690,34055,Palencia,PP
42,Cervera de Pisuerga,2288,34056,Palencia,PSOE
43,Cevico de la Torre,4790,34057,Palencia,URCL
44,Cevico Navero,1860,34058,Palencia,PP
